Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
-17.2	25.762		
-17.1	25.885		
-17.0	26.010	0.85888	
-16.9	26.130		
-16.8	26.255		
-16.7	26.378		
-16.6	26.506		
-16.5	26.631		
-16.4	26.759		
-16.3	26.881		
-16.2	27.009		
-16.1	27.140		
-16.0	27.265	0.85888	
-15.9	27.393		
-15.8	27.518		
-15.7	27.646		
-15.6	27.774		
-15.5	27.904		
-15.4	28.029		
-15.3	28.157		
-15.2	28.285		
-15.1	28.413		
-15.0	28.538	0.85920	
-14.9	28.671		
-14.8	28.797		
-14.7	28.924		
-14.6	29.055		
-14.5	29.186		
-14.4	29.313		
-14.3	29.444		
-14.2	29.575		
-14.1	29.708		
-14.0	29.838	0.85888	
-13.9	29.974		
-13.8	30.105		
-13.7	30.238		
-13.6	30.371		
-13.5	30.502		
-13.4	30.632		
-13.3	30.763		
-13.2	30.893		
-13.1	31.026		
-13.0	31.157	0.85920	
-12.9	31.288		
-12.8	31.415		
-12.7	31.546		
-12.6	31.676		
-12.5	31.807		
-12.4	31.938		
-12.3	32.071		
-12.2	32.199		
-12.1	32.332		
-12.0	32.462	0.85920	
-11.9	32.593		
-11.8	32.723		
-11.7	32.857		
-11.6	32.990		
-11.5	33.120		
-11.4	33.248		
-11.3	33.381		
-11.2	33.509		
-11.1	33.640		
-11.0	33.770	0.85888	
-10.9	33.898		
-10.8	34.024		
-10.7	34.154		
-10.6	34.282		
-10.5	34.410		
-10.4	34.535		
-10.3	34.660		
-10.2	34.788		
-10.1	34.916		
-10.0	35.041	0.85888	
-9.9	35.169		
-9.8	35.294		
-9.7	35.419		
-9.6	35.542		
-9.5	35.667		
-9.4	35.787		
-9.3	35.912		
-9.2	36.032		
-9.1	36.155		
-9.0	36.277	0.85888	
-8.9	36.397		
-8.8	36.517		
-8.7	36.637		
-8.6	36.754		
-8.5	36.871		
-8.4	36.991		
-8.3	37.108		
-8.2	37.226		
-8.1	37.343		
-8.0	37.457	0.85888	
-7.9	37.569		
-7.8	37.684		
-7.7	37.798		
-7.6	37.910		
-7.5	38.022		
-7.4	38.129		
-7.3	38.238		
-7.2	38.345		
-7.1	38.451		
-7.0	38.558	0.85920	
-6.9	38.662		
-6.8	38.766		
-6.7	38.869		
-6.6	38.971		
-6.5	39.075		
-6.4	39.173		
-6.3	39.274		
-6.2	39.376		
-6.1	39.474		
-6.0	39.570	0.85888	
-5.9	39.669		
-5.8	39.762		
-5.7	39.855		
-5.6	39.948		
-5.5	40.039		
-5.4	40.130		
-5.3	40.217		
-5.2	40.305		
-5.1	40.393		
-5.0	40.479	0.85888	
-4.9	40.561		
-4.8	40.641		
-4.7	40.724		
-4.6	40.801		
-4.5	40.878		
-4.4	40.955		
-4.3	41.030		
-4.2	41.102		
-4.1	41.177		
-4.0	41.248	0.85888	
-3.9	41.318		
-3.8	41.390		
-3.7	41.456		
-3.6	41.526		
-3.5	41.589		
-3.4	41.653		
-3.3	41.717		
-3.2	41.779		
-3.1	41.837		
-3.0	41.896	0.85920	
-2.9	41.952		
-2.8	42.005		
-2.7	42.058		
-2.6	42.109		
-2.5	42.157		
-2.4	42.202		
-2.3	42.247		
-2.2	42.293		
-2.1	42.335		
-2.0	42.373	0.85920	
-1.9	42.413		
-1.8	42.450		
-1.7	42.485		
-1.6	42.519		
-1.5	42.551		
-1.4	42.583		
-1.3	42.615		
-1.2	42.644		
-1.1	42.671		
-1.0	42.698	0.85920	
-0.9	42.722		
-0.8	42.743		
-0.7	42.764		
